status	document_id	bytes	sha256	relative_path	title	category	url
existing	18665	2917811	14ca962e528438f274643fd7baa62d9aa3f618dfa6eb8c96e1d24ca04012fca1	documents/18665-leaked-notes-of-admiral-wilson-to-eric-davis.pdf	Leaked Notes of Admiral Wilson to Eric Davis	Disclosure Documents	https://drstevengreer.com/wp-content/uploads/2022/06/Leaked_Notes_Eric_Davis_2002.pdf
existing	18667	16613	2a7fcf10fa0ea9ebb0dc94815756830d1f27531b669e7ee305f94af0249c0741	documents/18667-letter-2.docx	letter 2		https://drstevengreer.com/wp-content/uploads/2022/06/letter-2.docx
existing	17400	327817	7ea08bd043c45a6b1137328b844d3b0b066ce2878d135a129bcee788de8438f9	documents/17400-letter-to-clinton-administration-with-response-1995.pdf	Letter to Clinton Administration (with response) (1995)	Letters and Briefings	https://drstevengreer.com/wp-content/uploads/2022/05/Clinton-Docs.pdf
existing	18683	21555	8caef6c4153590c06f45e8d13ef6ef50087ac36254631cbba2910460ce7e361c	documents/18683-march-2018-report-from-reknowned-cal-tech-phd-geneticist-re-nolan-report.docx	March 2018 report from reknowned Cal Tech PhD geneticist re Nolan report		https://drstevengreer.com/wp-content/uploads/2022/06/March-2018-report-from-reknowned-Cal-Tech-PhD-geneticist-re-Nolan-report.docx
existing	18673	15254	a02c532e75b030ae221e3d303f368876a8e916394acfa254100d628964432726	documents/18673-march-25-2018-from-ctg-to-sd-website.docx	March 25 2018 from CTG to SD website		https://drstevengreer.com/wp-content/uploads/2022/06/March-25-2018-from-CTG-to-SD-website.docx
existing	18675	15254	a02c532e75b030ae221e3d303f368876a8e916394acfa254100d628964432726	documents/18675-march-25-2018-from-ctg-to-sd-website-1.docx	March 25 2018 from CTG to SD website 1		https://drstevengreer.com/wp-content/uploads/2022/06/March-25-2018-from-CTG-to-SD-website-1.docx
existing	18677	15737	1c99c848a94d4fe4b6f73250f187e4377d80d5cd8bcc3ac8cc4fa33ed8c71a58	documents/18677-march-29-2018-1.docx	March 29 2018 1		https://drstevengreer.com/wp-content/uploads/2022/06/March-29-2018-1.docx
existing	18679	13188	8573b512660dce26077b0f1facb3d80785d24dbbb54ced3b6e740ea25d482c41	documents/18679-march-30-2018.docx	March 30 2018		https://drstevengreer.com/wp-content/uploads/2022/06/March-30-2018.docx
existing	18681	13188	8573b512660dce26077b0f1facb3d80785d24dbbb54ced3b6e740ea25d482c41	documents/18681-march-30-2018-1.docx	March 30 2018 1		https://drstevengreer.com/wp-content/uploads/2022/06/March-30-2018-1.docx
existing	18685	81954	873d65deb541539f01bea8b4aecda14021b99d933b9b70cf9b8cc94044f146a1	documents/18685-media-play.pdf	Media Play	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/MediaPlay-1.pdf
