status	retry_stage	kind	relative_path	url	error	failure_count	failed_at	next_retry_after	deferred_reason	stopped_at	stopped_reason
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-8.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1034560.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:40Z	2026-08-09T07:12:40Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-10.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1036036.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:40Z	2026-08-09T07:12:40Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-4.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1039679.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:41Z	2026-08-09T07:12:41Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-16.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1043438.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:41Z	2026-08-09T07:12:41Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-11.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/a215200.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:42Z	2026-08-09T07:12:42Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-14.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/a300047.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:42Z	2026-08-09T07:12:42Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-15.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/a318780.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:43Z	2026-08-09T07:12:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-9.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/a575861.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:43Z	2026-08-09T07:12:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-13.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/a588078.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:43Z	2026-08-09T07:12:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-6.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/a603516.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:44Z	2026-08-09T07:12:44Z	previous download failed; waiting before retry		
